title,nid,nid_old
Agriculture,1,1
Almanacs,2,2
American Revolution,3,3
Anatomy,4,4
Archaeology,6,6
Astronomy,7,7
Benevolence Societies,8,8
Biology,9,9
Botany,10,10
Canada,11,11
Cartography,12,12
Charity,13,13
Chemistry,14,14
Collected Works,15,15
Commerce,16,16
Demography,17,17
Diplomacy,18,18
Directory,19,19
Drama,20,20
Economics,21,21
Education,22,22
Electricity,23,23
Engineering,24,24
Epidemiology,25,25
Eulogy,27,27
Evolution,28,28
Exploration,29,29
Fine Arts,30,30
Indigenous Peoples,31,31|38|49
Foreign Relations,32,32
Geography,33,33
Geology,34,34
Haitian Revolution,35,35
History,36,36
Imperial Rivalry,37,37
Invention,39,39
Law,40,40
Linguistics,41,41
Literature,42,42
Mathematics,43,43
Medicine,44,44
Meteorology,45,45|46
Military,47,47
Music,48,48
Natural History,50,50
Novels,51,51
Oration,52,52
Ornithology,53,53
Paleontology,54,54
Pathology,55,55
Philosophy,56,56
Physics,57,57
Physiology,58,58
Poetry,59,59
Politics,60,60
Public Works,61,61
Religion,62,62
Science,63,63
Sermons,64,64
Slavery,65,65
Songs,66,66
Surgery,67,67
Surveying,68,68
Technology,69,69
Travel,70,70
War,71,71
Zoology,73,73
