nid,bib_number,title,year,publication,members,creator_1_name,creator_1_lcsh,creator_1_relator,creator_1_relator_old,creator_2_name,creator_2_lcsh,creator_2_relator,creator_2_relator_old,subjects,subjects_old,aps_subjects,aps_subjects_old,record_source,editions,editions_note,holding_note,references,external_permalink,external_permalink_old,aps_permalink,nid_old,created_by,admin_notes,needs_remediation
5262,358.011,"Mémoire sur le premier drap de laine superfin du cru de la France : lu à la rentrée publique de l'Académie Royale des Sciences, le 21 avril 1784.",1784.,Lille [France]: N.J.B. Peterinck-Cramé,4343,Académie royale des sciences (France),n81083235,Author,Corporate Author,,,,,3077|3078|3084|3085,3077|3084|3078|3085,21|1,1|21,BNF,"2x 1784 (Lille), 1x 1785 (Paris), 1x 1786 (Paris), 1x 1792 (Gouda [Netherlands])","Five editions: two in Lille in 1784, two in Paris (1785 and 1786), and one in Gouda, Netherlands, in 1798.",,,http://ark.bnf.fr/ark:/12148/cb30302353s,http://ark.bnf.fr/ark:/12148/cb30302353s,,27596,JA,Removed brackets from creator LCSH,
5183,370.003,Art de la teinture en soie.,1763.,[Paris],4352,Académie royale des sciences (France),n81083235,Author,Corporate Author,,,,,845|1149|1443|2493|2492,845|2493|2492|1443|1149,14|1,1|14,APS,"1x 1763 ([Paris]), 1x 1764 (Berlin), 1x 1768 (Dublin), 1x 1771 (Madrid), 1x 1785 (Paris), 2x 1789 (London, Venezia), 1x 1791 (Dordrecht [Dort, Netherlands]) 1x 1823 (Bulaq [Cairo])","Nine editions: one in 1763 ([Paris]), one in 1764 (Berlin), one in 1768 (Dublin), one in 1771 (Madrid), one in 1785 (Paris), two in 1789 (London, Venezia), one in 1791 (Dordrecht [Dort, Netherlands]), one in 1823 (Bulaq [Cairo]).","APS holds one copy of the 1763 edition. The book appeared as part of a series published by the Académie des sciences, Paris, entitled ""Descriptions des arts et métiers.""",,https://opac.amphilsoc.org/cgi-bin/koha/opac-detail.pl?biblionumber=41922,https://opac.amphilsoc.org/cgi-bin/koha/opac-detail.pl?biblionumber=41922,https://opac.amphilsoc.org/cgi-bin/koha/opac-detail.pl?biblionumber=41922,28034,JA,,
5960,406.002,Appendix : a brief out-line of modern chemistry.,[1806?],"[Whitehall, Pa.]: [s.n.]",4337,"Adams, George, 1750-1795",n84213407,Contributor,Contributor,,,,,544|2428,2428|545,14,14,PENN,"1x 1806 (Whitehall, Pa.), 1x 1807 (Whitehall, Pa.)",Two editions: one in 1806 and one in 1807. Issued as appendix to v. 1 of George Adams' Lectures on natural and experimental philosophy; also appended to his A brief outline of physics.,,,https://franklin.library.upenn.edu/catalog/FRANKLIN_991989183503681,https://franklin.library.upenn.edu/catalog/FRANKLIN_991989183503681,,25028,JA,,
4742,3.001,"... A declaration of the cessation of arms, as well by sea, as land, agreed upon between His majesty the king of Great Britain & the United States of America.",[1783],[Paris],4296|4249,"Adams, John, 1735-1826",n79105675,Author,Author,"Franklin, Benjamin, 1706-1790",n79043402,Author,,,,18|3,3|18,APS,1x 1783 (Paris),,"APS holds two copies: <a href=""https://opac.amphilsoc.org/cgi-bin/koha/opac-detail.pl?biblionumber=116301"">[1</a>, <a href=""https://opac.amphilsoc.org/cgi-bin/koha/opac-detail.pl?biblionumber=184974"">2]</a>",,https://opac.amphilsoc.org/cgi-bin/koha/opac-detail.pl?biblionumber=116301,https://opac.amphilsoc.org/cgi-bin/koha/opac-detail.pl?biblionumber=116301,https://opac.amphilsoc.org/cgi-bin/koha/opac-detail.pl?biblionumber=116301|https://opac.amphilsoc.org/cgi-bin/koha/opac-detail.pl?biblionumber=184974,29353,JA,Bib number is Ben Franklin; added him to associated members and as creator,
5388,391.001,"America and France : the intire [sic] message of the president of the United States, to both houses of Congress : covering the full powers to, and dispatches from, the envoys extraordinary of the United States, to the French Republic. Published by order of Congress.",[1798],"Boston, Massachusetts: Published for universal information, by B. Russell, State-Street",4296,"Adams, John, 1735-1826",n79105675,Author,Author,,,,,,,,,LCP,"2x 1798 (Boston, London)","Two editions: two in 1798 (Boston, London). The London imprint is probably from Paris. Dated April 3, 1798, it was transmitting to Congress the instructions to and dispatches 1-5 from Charles Cotesworth Pinckney, John Marshall and Elbridge Gerry, envoys extraordinary to France, concerning the XYZ Affair.",,Evans 34815,https://librarycompany.kohacatalog.com/cgi-bin/koha/opac-detail.pl?biblionumber=174172,https://librarycompany.kohacatalog.com/cgi-bin/koha/opac-search.pl?idx=control-number&q=000061875,,27154,JA,,
5389,391.002,"A collection of state-papers : relative to the first acknowledgment of the sovereignty of the United States of America, and the reception of their minister plenipotentiary, by their High Mightinesses the States-General of the United Netherlands.",[1782],At the Hague: [s.n.],4296,"Adams, John, 1735-1826",n79105675,Compiler,Compiler,,,,,2834|2335|1919,1919|2834|2335,,,AAS,"1x 1782 (At the Hague), 1x 1782 (London), 1x 1794 (London)",,APS holds one copy.,Sabin 228|Sabin 229|Sabin 14388|Sabin 14389,https://catalog.mwa.org/vwebv/holdingsInfo?bibId=203804,https://catalog.mwa.org/vwebv/holdingsInfo?bibId=203804,http://opac.amphilsoc.org/cgi-bin/koha/opac-detail.pl?biblionumber=53703,27158,JA,,
5390,391.003,"Deeds and other documents relating to the several pieces of land, and to the library presented to the town of Quincy : by President Adams, together with a catalogue of the books.",1823.,Cambridge [MA]: Printed by Hilliard and Metcalf,4296,"Adams, John, 1735-1826",n79105675,Author,Author,,,,,,,,,LCP,1x 1823 (Cambridge [MA]),"One edition. In 1894 the Adams library of 2,756 volumes was transferred from the Thomas Crane Public Library of Quincy, Mass., where it had been lodged since 1882, to the Boston Public Library.",,Sabin 255|Shaw-Shoemaker 11529,https://librarycompany.kohacatalog.com/cgi-bin/koha/opac-detail.pl?biblionumber=80432,https://librarycompany.kohacatalog.com/cgi-bin/koha/opac-detail.pl?biblionumber=80432,,27159,JA,,
5391,391.004,A defence of the constitutions of government of the United States of America.,1787.,"London: Printed for C. Dilly, in the Poultry",4296,"Adams, John, 1735-1826",n79105675,Author,Author,,,,,717|2209|2366,717|2366|2209,,,APS,"2x 1787 (London), 1x New York, 1x 1787 (Philadelphia), 2x 1787–1788 (London), 1x 1788 (Boston), 1x 1792 (Paris), 1x 1794 (London), 3x 1797 (Philadelphia)","At least twelve editions: two in 1787 (London), one in New York, one in 1787 (Philadelphia), two in 1787–1788 (London), one in 1788 (Boston), one in 1792 (Paris), one in 1794 (London), three in 1797 (Philadelphia).","APS holds four copies: <a href=""http://opac.amphilsoc.org/cgi-bin/koha/opac-detail.pl?biblionumber=241146"">in the original printing</a>, marked in manuscript on p.[3] : ""Tho. M:Kean, April 27th: 1787""; Adams sent <a href=""http://opac.amphilsoc.org/cgi-bin/koha/opac-detail.pl?biblionumber=162515"">Vol. 1 of copy 2 through Franklin</a>; (see APS Minutes, May 18, 1787, letter of J. Adams to B. Franklin, Jan. 27, 1787. B:F85.x26) Vols. 2-3 presented by author through T.B. Adams, March, 1802; <a href=""http://opac.amphilsoc.org/cgi-bin/koha/opac-detail.pl?biblionumber=82853"">copy three of the omnibus</a> was presented by Jacob Snider, Jr., 17 March 1842; copy four is the French-language Paris <a href=""http://opac.amphilsoc.org/cgi-bin/koha/opac-detail.pl?biblionumber=94172"">version of 1792.</a>",Sabin 233|Sabin 234|Sabin 235|Sabin 236|Sabin 237|Evans 20176|Evans 20177|Evans 20910|Evans 31689|Evans 31690|Evans 31691|Howes A60,http://opac.amphilsoc.org/cgi-bin/koha/opac-detail.pl?biblionumber=241146,http://opac.amphilsoc.org/cgi-bin/koha/opac-detail.pl?biblionumber=241146,http://opac.amphilsoc.org/cgi-bin/koha/opac-detail.pl?biblionumber=241146|http://opac.amphilsoc.org/cgi-bin/koha/opac-detail.pl?biblionumber=162515|http://opac.amphilsoc.org/cgi-bin/koha/opac-detail.pl?biblionumber=82853|http://opac.amphilsoc.org/cgi-bin/koha/opac-detail.pl?biblionumber=94172,27163,JA,,
5392,391.005,"Discourses on Davila : a series of papers, on political history : written in the year 1790, and then published in the Gazette of the United States.",1805.,Boston: Printed by Russell and Cutler,4296,"Adams, John, 1735-1826",n79105675,Author,Author,,,,,2209|1130|757,757|2209|1130,,,AAS,1x 1805 (Boston),"One edition, published anonymously by John Adams. A sequel to his A defence of the constitutions of government of the United States (1787), hence its inclusion herein.",,Sabin 239|Shaw-Shoemaker 7831,https://catalog.mwa.org/vwebv/holdingsInfo?bibId=272513,https://catalog.mwa.org/vwebv/holdingsInfo?bibId=272513,,27166,JA,,
5393,391.006,History of the dispute with America; from its origin in 1754 : written in the year 1774.,[1784],"London: printed for J. Stockdale, Opposite Burlington-House, Piccadilly",4296,"Adams, John, 1735-1826",n79105675,Author,Author,,,,,2859,2863,,,ESTC,1x 1784 (London),One edition.,APS holds one copy.,Sabin 243,https://datb.cerl.org/estc/T83249,http://estc.bl.uk/T83249,http://opac.amphilsoc.org/cgi-bin/koha/opac-detail.pl?biblionumber=240927,27167,JA,,
