nid,last_name,suffix,first_name,full_name,last_first,lcsh,lcsh_id,election_date,office,bio,bio_note,img_url,file_name,img_alt,note,bib_number,old_nid,created_by,appears_in_creators,admin_notes
4353,Adams,,Charles,Charles Adams,"Adams, Charles","Adams, Charles Francis, 1807-1886",n50036837,1775,,"Charles Adams (?–?) was a physician, and a member of the American Philosophical Society, elected in 1775. Based in Barbados, Charles Adams presumably worked as a medical doctor. In 1781 he became a founding member of the Barbados Society for the Encouragement of Arts, Manufactures, and Commerce, where he also served as treasurer as well as on the committee of chemistry.",,/sites/default/files/2025-04/1760-1800_208.png,default_1760-1800.png,Blank portrait of a man in mid/late 18th century attire,https://www.google.com/books/edition/List_of_the_Members_of_the_American_Phil/21DkAAAAMAAJ?hl=en&gbpv=1&bsq=1775<br /><br /><br />https://www.google.com/books/edition/Institution_and_first_Proceedings_of_the/LkIjkpTc_H8C?hl=en&gbpv=1&dq=%22dr.+adams%22+barbados&pg=PA15&printsec=frontcover,369,20030,JA|AV,Y,
4296,Adams,,John,John Adams,"Adams, John","Adams, John, 1735-1826",n79105675,1780,,"<p>John Adams (19 October 1735–4 July 1826) was a lawyer, statesman, diplomat, second President of the United States of America, and a member of the American Philosophical Society, elected in 1780. Born in Braintree (later Quincy), Massachusetts to shoemaker, farmer, and officeholder John Adams, Sr., and his wife, Susanna, the junior Adams had a childhood rife with outdoor amusements before he entered Harvard College. Defying his father’s wishes for him to be a clergyman, Adams pursued law exclusively. He graduated (1755), began reading law in Worcester (1756), gained admission to the Braintree bar (1758), and became barrister before the Massachusetts superior court (1762). Two years later, established in his career and having inherited his father’s estate, Adams married the formidable Abigail Smith (known thereafter as Abigail Adams), who would act as his advisor for the rest of her life.</p><p>In 1765, Adams's career began to intertwine with the rising tension between the American Colonies and the British Empire: in his popular essays protesting the Stamp Act and his Braintree Resolves, he established sentiments that shaped the later American Independence movement. The Adamses relocated to Boston in 1768, where the conflict between the colonies and the Empire began to reach a boiling point. Adams threw himself right into the pot: he defended rebel wine-smuggler John Hancock against the British Empire (1768), and then the Imperial troops charged with initiating the Boston Massacre (1770). Though the latter supposedly injured his career, colonist support won him the election to the Massachusetts General Court that same year. He had a brief illness or mental breakdown from 1771 to 1772, meanwhile, his newspaper essays were some of the first to declare autonomy from British parliament and support the Boston Tea Party (1773). The following year, the Massachusetts House nominated Adams to the first continental congress in Philadelphia, so as to counter British repercussions brought on by the Boston Tea Party. He briefly returned to Boston before scurrying back to Philadelphia after the outbreak of hostilities at Lexington and Concord (1775).</p><p>Taking charge in the Second Continental Congress, Adams proposed a Continental Army with George Washington as commander-in-chief and thereby threw himself into the project of facilitating said army through tireless work in numerous Congressional committees. Adams also pleaded the case for a Declaration of Independence, and thereby landed a spot on the drafting committee. In his response to Thomas Paine’s Common Sense, Thoughts on Government (1776), Adams further proved himself an architect of American republicanism: making a case for two balanced legislative chambers with a strong executive at the head. He returned home to Boston exhausted in 1777, only to find out later that year that Congress had decided to ship him off to Paris to join Benjamin Franklin and Arthur Lee in the crucial negotiations at Versailles. John Adams and his son, John Quincy Adams, landed in France in 1788, only to find an alliance with France had already been secured whilst the two were still crossing the Atlantic. Nevertheless, he organized much of the new commission, and made an unfruitful attempt to secure additional naval aid from the French. The following year, he joined the Massachusetts Constitutional Convention, wherein he composed the state’s constitution, the oldest of its kind still in effect. Despite his evident knack for political theory—and lack for diplomacy—Adams found himself diverted yet again, now as sole minister plenipotentiary to Great Britain. Peace seeming a premature goal, Adams relocated to Holland, and was able to produce a Dutch loan, Dutch recognition of his fledgling nation, and a treaty of amity and commerce, all by fall of 1782. He then returned to Paris to contribute to the 1783 Treaty of Peace with Britain.</p><p>Remaining in Europe for another five years, his wife and daughter joined him (1784), and Adams became the first American minister to England (1785), a position destined to be of little consequence considering the fresh wound dealt to Great Britain by the United States. Instead, the reluctant minister occupied himself by signing a commercial treaty with Paris (1786), and publishing three volumes of his A Defence of the Constitutions of the United States (1787-1788), where he continued to advocate for a strong executive and balanced legislative bodies. </p><p>Adams returned home in 1788 with something of a heroic reputation, as his Defence had lent itself to the drafting process of the new United States Constitution. Even so, the following year Adams found himself cast into another disappointingly inconsequential role: Vice President of the United States. His support of lifetime-presidency and propensity for tradition made some believe he was flirting with monarchism and earned him many enemies, namely one Alexander Hamilton. Despite this, after two terms in what he deemed “the most insignificant office that ever the invention of man contrived,” he won election to the presidency in 1796. Assuming office in 1797, Adams inherited sticky diplomatic relations with France. Seemingly on the brink of war, he tested just how far he could stretch his newfound presidential powers: he strengthened the navy, passed the Alien Act to deport recent French immigrants and their sympathizers, and the Sedition Act to silence his media critics. Sullying his republican reputation, dividing the Federalists, and likely costing him his reelection in the process, Adams's authoritarian measures successfully prevented full-on war with France nevertheless. Estranged from his once friendly successor, Thomas Jefferson, and something of a villain in the public eye, Adams retired from politics only to reconcile with Jefferson over a decade later after the intervention of APS Member Benjamin Rush. The Adams-Jefferson correspondence became a great gift to posterity. They corresponded amicably for the rest of their lives until the Fourth of July, 1826, when Adams died of heart failure just hours after Jefferson met his own end. John Adams's son, John Quincy Adams, became the sixth President of the United States (1825) and a fellow APS member (1818). (ANB, DNB)</p>",,/sites/default/files/2025-04/1024px-Official_Presidential_portrait_of_John_Adams_%28by_John_Trumbull%2C_circa_1792%29.jpg,4296_Adams_John.jpg,Portrait of John Adams,,391,20052,JA|AV,Y,
4415,Adye,,Stephen,Stephen Adye,"Adye, Stephen","Adye, Stephen Payne, -1794",n82219705,1772,,"Stephen Adye (d. 24 March 1794) was a British military officer, a scholar of the military justice system, and a member of the American Philosophical Society, elected in 1772. He was educated at the Royal Military Academy at Woolwich beginning in 1757; by 1780, he had become a captain in the Royal Artillery of the British Army. Adye experienced active service throughout his career, including a stint as a brigade major during the American Revolutionary War, but he is most well-known for his writings on and participation in the military judicial system. He worked as a deputy judge-advocate-general in North America throughout the 1760s. In 1769, he published an influential treatise on the judicial procedures of the army. He was interested in both the historical development of the army’s legal process and its contemporary applications. He believed that all soldiers should be treated equally in the eyes of the law, regardless of their rank, and that courts-martial could guarantee just outcomes to an even greater extent than civilian jury trials. Adye and his wife, Elizabeth Hitchcock, had three sons, all of whom joined the Royal Artillery and continued their father’s legacy. He retired from the army in 1790 and died in 1794 on the island of Jersey. (DNB)",,/sites/default/files/2025-04/1760-1800_189.png,default_1760-1800.png,Blank portrait of a man in mid/late 18th century attire,,329,19990,JA|CF,Y,
4666,Alexander,(d. 1756),James,James Alexander (d. 1756),"Alexander, James","Alexander, James, 1691-1756",n83170978,1744,,"James Alexander (27 May 1691–2 April 1756) was a lawyer, politician, and controversialist known for his role in the Zenger trial, and a member of the American Philosophical Society, elected in 1744. Born in Scotland, he received training in engineering, surveying, and astronomy and may have participated in the Jacobite uprising there before immigrating to Perth Amboy, New Jersey, in 1715. Soon after, he became Surveyor General of East Jersey, West Jersey, and New York, serving on the committees that surveyed New York’s borders with New Jersey and Connecticut. During this time he also acquired extensive land holdings, becoming one of the wealthiest men in the region. From 1720 on he practiced law, becoming Attorney General of New Jersey in 1723, and sat on the royal councils of both New York and New Jersey. In 1733, Alexander and others hired John Peter Zenger to print scathing attacks on New York Governor William Cosby in the New York Weekly Journal. When Zenger was prosecuted for seditious libel, Alexander and APS member William Smith served as his attorneys and, following their disbarment by Chief Justice and APS member James De Lancey, assisted with the defense behind the scenes. Alexander also corresponded with the Royal Society of London and Royal Academy of Sciences in Paris and published a letter to Benjamin Franklin concerning the impending Transit of Mercury in the APS Transactions. He was also a founder of King’s College and the New York Library Society. (PI, ANB, DNB, DAB)",Elected to the original American Philosophical Society.,/sites/default/files/2025-04/1744-1759_4.png,default_1744-1759.png,Blank portrait of a man in early/mid 18th century attire,,10,19177,AM,Y,
4566,Alexander,(d. 1778),James,James Alexander (d. 1778),"Alexander, James","Alexander, James, 1691-1756",n83170978,1768,Curator of the APS (1772-1774),"James Alexander (?–1778) was a gardener and seedsman, and a member of the American Philosophical Society via his 1768 election to the American Society. Little is known about his early life, but by adulthood he was employed as the gardener of Pennsylvania proprietor Thomas Penn’s country seat in Springettsbury, near Philadelphia. There, he laid out lawns, walks, and plant beds. When Penn returned to England in 1741, Alexander continued to oversee the property and provided his employer with plants. The garden’s visitors included APS members Ezra Stiles and William Shippen, and Alexander was well known for a variety of grape that still bears his name today. He also conducted a successful seed business, becoming APS founder John Bartram’s biggest competitor. In 1764 Chief Justice (and APS member) William Allen proposed a partnership with Alexander to make a medicinal tea more widely available. Alexander contributed to the Pennsylvania Hospital and signed the 1765 Non-Importation Agreement. He presented botanical specimens to the APS and served on the committee that observed the Transit of Venus. He was also a member of the Library Company of Philadelphia and a communicant of the First Presbyterian Church. (PI)",Elected to the American Society.,/sites/default/files/2025-04/1760-1800_46.png,default_1760-1800.png,Blank portrait of a man in mid/late 18th century attire,,117,19780,AM,Y,
4444,Alexander,,William,William Alexander,"Alexander, William","Alexander, William, 1726-1783",n85017551,1770,,"William Alexander (25 December 1726–15 January 1783) was a military officer during the Revolutionary War and a member of the American Philosophical Society, elected in 1770. Born to a wealthy and prominent family in New York City, William’s world revolved around social capital and status. He married Sarah Livingston in 1748, the daughter of an influential New York family. He believed that he was the rightful heir to the Scottish earldom of Stirling, and, while living in Britain during the 1750s, he spent an enormous amount of money attempting to prove it. Though the crown never accepted the claim officially, he went by the title “Lord Stirling” for the rest of his life. His parents shaped and aided his early career. As a young man, he began work as a clerk for his mother, a merchant, and eventually became her partner. His father was surveyor-general of New York and New Jersey, and William inherited this position upon his father’s death in 1756. In the run up to the American Revolutionary War, William seemed sympathetic to the British, but when fighting broke out he quickly announced his support for the patriot cause and became a colonel in the New Jersey militia. His military career included some crushing defeats and some notable acts of heroism, and he steadily rose through the ranks to become a major-general. He fought alongside George Washington at the battles of White Plains and Trenton and was briefly taken prisoner after the Battle of Long Island. In 1781, he was posted in Albany in anticipation of a possible attack at nearby Saratoga, but the area remained quiet and free from fighting. He died of gout in 1783 and was buried in Albany. (DNB, ANB)",,/sites/default/files/2025-04/William_Alexander%2C_Lord_Stirling.png,4444_Alexander_William.png,Portrait of William Alexander,,292,19953,JA|CF,Y,
4653,Alison,,Francis,Francis Alison,"Alison, Francis","Alison, Francis, 1705-1779",n83126861,1744,,"Francis Alison (1705–28 November 1779) was a Presbyterian minister and educator and a member of the American Philosophical Society, elected in 1744. Born in Ireland and educated in Scotland, he immigrated to Pennsylvania in 1735. Ordained as the minister of the New London Presbyterian Church, Alison maintained his belief in the formal training and education of ministers during the series of revivals known as the Great Awakening. Alison’s commitment to education became manifest in 1743 when he chartered the New London Academy (a progenitor of the University of Delaware). There he taught Latin and logic and educated a number of students who would later become APS members and signers of the Declaration of Independence. He served in leadership positions at the Academy of Philadelphia and the College of Philadelphia and was the director of the Library Company from 1757 to 1765. In 1759, while serving as a minister to the First Presbyterian Church in Philadelphia, Alison chartered two life insurance corporations to care for aging Presbyterian ministers and their widows and families. Though his intellectual strengths were in the classics, his interests also included natural history and botany. When British forces occupied the city during the American Revolution, Alison fled Philadelphia. Upon his return, he joined others in calling for the revival of APS meetings. (PI, ANB, DNB, DAB)",Elected to the original American Philosophical Society.,/sites/default/files/2025-04/1744-1759_11.png,default_1744-1759.png,Blank portrait of a man in early/mid 18th century attire,,23,19190,JF,,
4634,Allen,,John,John Allen,"Allen, John","Allen, John, 1739-1778",,1768,,"John Allen (March 1739–2 February 1778) was a public official and a member of the American Philosophical Society, elected in 1768. Born in Philadelphia, the eldest son of Chief Justice (and APS member) William Allen, he enrolled in the College of Philadelphia. But rather than continue his studies, he then traveled abroad with his kinsman and APS member Joseph Shippen, Jr., and the artist Benjamin West, visiting Italy, Switzerland, Germany, Belgium, and England. Upon his return to Philadelphia in 1762, Allen was elected to the Common Council. He visited England again in 1766 and 1771 and frequently traveled elsewhere on business; these absences forced him to turn down a number of positions on charitable boards. Despite some gestures of support for the colonial cause early on in the Revolutionary War, Allen never condoned separation from Britain. In the mid-1770s, he moved to New Jersey, where he was elected to the Provincial Congress in 1776, but his increasingly unpopular aversion to independence ultimately led him to abandon his seat. Under the protection of the British army he fled to New York late in 1776 but returned to Philadelphia during the British occupation a year later. He died there in 1778. In addition to his father, his brothers Andrew and James Allen, uncle James Hamilton, and brother-in-law John Penn were also APS members. (PI)",Elected to the revived American Philosophical Society.,/sites/default/files/2025-04/1760-1800_38.png,default_1760-1800.png,Blank portrait of a man in mid/late 18th century attire,,100,19560,JF,,
4618,Allen,,William,William Allen,"Allen, William","Allen, William, 1704-1780",n85017814,1768,,"William Allen (5 August 1704–6 September 1780) was a jurist, politician, merchant, and landowner, and a member of the American Philosophical Society, elected in 1768. Born in Philadelphia, Allen voyaged to England in 1720 to study law at London’s Middle Temple. Following his father’s death in 1725, he returned to Pennsylvania, where he expanded his landholdings through speculation and improved them with copper mines and ironworks. Along with his mercantile ventures, these projects made possible the lavish lifestyle to which he’d grown accustomed in England. As one of the wealthiest men in the colony, Allen donated to the Pennsylvania Hospital and the College of Philadelphia, of which he was also a trustee. He was a patron of the painters Benjamin West and John Singleton Copley, and he loaned the local government the funds needed to purchase the land on which Independence Hall was built. Allen’s social prestige paved the way for a successful political career. In 1727 he became a member of the Philadelphia Council, and from 1730 to 1739 he led the proprietary party in the Pennsylvania Assembly alongside his father-in-law Andrew Hamilton. In 1750 Allen’s brother-in-law, Pennsylvania Governor (and APS member) James Hamilton, named him Chief Justice of the state’s Supreme Court. Allen continued to lead the proprietary party during its acrimonious disputes with the Quaker party during the French and Indian War. Although he traveled to England in 1763 to oppose the Sugar Act and proposed Stamp Act, he spent the next decade advocating a compromise between Britain and the colonies. When the plan for reconciliation outlined in his American Crisis (1774) failed to garner support, he withdrew from office and retired to England, returning to Philadelphia in 1779. His sons John, Andrew, and James Allen and son-in-law John Penn were APS members. (PI, ANB, DNB, DAB)",Elected to the revived American Philosophical Society.,/sites/default/files/2025-04/ChiefJusticeWilliamAllen.png,4618_Allen_William.png,Portrait of William Allen,,84,19545,AM,Y,
4629,Allen,,Andrew,Andrew Allen,"Allen, Andrew","Allen, Andrew, 1740-1825",n86114945,1768,,"Andrew Allen (June 1740–7 March 1825) was a lawyer and public official, and a member of the American Philosophical Society, elected in 1768. Born in Philadelphia, the second son of Chief Justice (and APS member) William Allen, he completed his coursework at the College of Philadelphia in 1758 before traveling to England to study law. Upon his return to Philadelphia he launched a successful legal practice and in 1765 was admitted to the Supreme Court of Pennsylvania, He then assumed a slew of public offices, including attorney-general, member of the Governor’s Council, and Recorder of Philadelphia. In addition to the APS, Allen was involved in a number of Philadelphia institutions: he was a trustee of the Academy at Newark, Delaware, and the College of Philadelphia and a subscriber to the Silk Society and City Tavern. While he was a moderate supporter of colonial resistance to imperial taxation, he chiefly promoted reconciliation with Britain. Leading up to the American Revolution, he held a number of positions that speak to patriot leaders’ confidence in his abilities, including serving as a delegate to the Second Continental Congress in 1775. By 1776, he had ceased attending Congress, which aroused suspicion of disloyalty. Having left Philadelphia alongside evacuating British forces in 1778, Allen felt that exile was his only option and removed to England. Encouraged by a pardon from Pennsylvania’s governor, he briefly returned to Philadelphia in 1793 to attend the marriage of his daughter. But he would spend the remainder of his life in England trying to recover his property in America while living on a government pension. In addition to his father, his brothers James and John Allen, uncle James Hamilton, and brother-in-law John Penn were also APS members. (PI, DAB)",Elected to the revived American Philosophical Society.,/sites/default/files/2025-04/lossy-page1-511px-Andrew_Allen_member_of_the_Continental_Congress_%28NYPL_b13049824-420811%29_%28cropped%29.tiff_.jpg,4629_Allen_Andrew.jpg,Portrait of Andrew Allen,,96,19556,JF,Y,
