nid,nid_old,heading,changed_from
145,145,Absolution,
146,146,Academic dissertations--Sweden--Uppsala--18th century,
147,147,ACCION Y DEFENSA (DERECHO CANONICO),
148,148,Achromatism--Early works to 1800,
149,149,Acids--Early works to 1800,
150,150,"Ackworth School (Ackworth, England)",
152,152,"Adams, John, 1735-1826",
151,151,Adams family,
153,153,Administrative and political divisions,
157,157,Admiralty,
154,154,Admiralty--Great Britain,
155,155|75,Admiralty--United States,
156,156,Admiralty--United States--Cases,
158,158,Adulterated coins,
159,159,Adulterations,
160,160,Adultery,
161,161,Advertising--Early works to 1800,
166,166,Africa,
165,165,"Africa, North--Foreign relations--United States",
163,163,Africa--Exploration,Africa--Discovery and exploration
162,162,Africa--Exploration--Early works to 1800,Africa--Discovery and exploration--Early works to 1800
164,164,Africa--History,
168,168,African American churches,
167,167,African American churches--Pennsylvania--Philadelphia,
169,169,"Slavery--Insurrections, etc.",African American criminals--New York (State)--New York
170,170,African Americans--Pennsylvania--Philadelphia,
2525,2525|2467,African Americans--Religion,
171,171,African Americans--Religion--Early works to 1800,
172,172,African Americans--South Carolina,
174,174,Age Factors,
175,175,Agricultural pests--Early works to 1800,
188,188|189,Agriculture,
176,176,Agriculture--Dictionaries,
177,177,Agriculture--Early works to 1800,
179,179,Agriculture--Economic aspects,
178,178,Agriculture--Economic aspects--Sweden,
180,180,Agriculture--England,
181,181,Agriculture--Maryland,
182,182,"Agriculture--Pennsylvania--Societies, etc",
183,183,Agriculture--Spain,
185,185|186|187,Agriculture--United States,
184,184,Agriculture--United States--Early works to 1800,
194,194,Air,
80,80,"Air, Measurement",
79,79,"Air, Measurement--Early works to 1800",
190,190,Air--Analysis,
77,77,Air--Chemical composition--Early works to 1800,
191,191|78,Air--Early works to 1800,
193,193,Air-pump,
76,76,Air quality,
192,192,"Air quality, Early works to 1800",
195,195,Alabama--Description and travel,
196,196,Alabama,Alabama Indians
198,198,Alcoholism,
197,197,Alcohol--Physiological effect,
199,199,Alfalfa,
200,200,"Alien and Sedition laws, 1798",
201,201,"Alison, Francis, 1705-1779",
81,81,"Alkalies, Early works to 1800",
202,202,Alkali industry and trade--Early works to 1800,
203,203,"Allen, Andrew, 1740-1825",
204,204,"Allen, William, 1704-1780",
212,212,Almanacs,
210,210,"Almanacs, American--Pennsylvania--Early works to 1800",
211,211,"Almanacs, English--Early works to 1800",
205,205,Almanacs--Pennsylvania--1733,
206,206,Almanacs--Pennsylvania--1734,
207,207,Almanacs--Pennsylvania--1736,
208,208,Almanacs--Pennsylvania--1758,
209,209,Almanacs--Pennsylvania--1780,
220,220,America,
213,213,America--Antiquities--Early works to 1800,
214,214,America--Climate,
216,216,America--Exploration,America--Discovery and exploration
215,215,"America--Exploration--Centennial celebrations, etc.--Early works to 1800","America--Discovery and exploration--Centennial celebrations, etc.--Early works to 1800"
217,217,America--History,
219,219,America--Maps,
218,218,America--Maps--Early works to 1800,
221,221,American essays,
223,223,American loyalists,
222,222,American loyalists--Massachusetts,
224,224,"Ames, Levi, 1752-1773",
227,227,Amphibians,
225,225,Amphibians--Dictionaries--French,
226,226,Amphibians--Early works to 1800,
228,228,Amusements--Religious aspects--Quaker--Early works to 1800,
229,229,Anabaptists,
230,230,Analysis,
231,231,Anatomie--Ouvrages de référence,
238,238|239,Anatomy,
234,234,"Anatomy, Artistic",
233,233,"Anatomy, Artistic--Early works to 1800",
232,232|236|237,"Anatomy, Comparative",
235,235,"Anatomy, Comparative--England--London--Early works to 1800",
240,240,Angina maligna,
