nid,error,error_num
5262,"Member Daubenton, Louis J.M. (4343) is indicated by bib number but does not appear in creators",5
5262,"Member Daubenton, Louis J.M. (4343) appears in members but not creators",4
5183,"Member Macquer, Pierre J. (4352) is indicated by bib number but does not appear in creators",5
5183,"Member Macquer, Pierre J. (4352) appears in members but not creators",4
5960,"Member Patterson, Robert Sr. (4337) is indicated by bib number but does not appear in creators",5
5960,"Member Patterson, Robert Sr. (4337) appears in members but not creators",4
4742,"Member Adams, John (4296) appears in members but is not accounted for in bib_number 3",2
5394,"Member Adams, Charles (4353) appears in members but is not accounted for in bib_number 391",2
6324,"Member Adams, John (4296) appears in members but is not accounted for in bib_number 451",2
6324,"Member McHenry, James (4279) is indicated by bib number but does not appear in creators",5
6324,"Member McHenry, James (4279) appears in members but not creators",4
6956,"Member Lee, Arthur (4647) is indicated by bib number but does not appear in creators",5
6956,"Member Lee, Arthur (4647) appears in members but not creators",4
6299,"Member Workman, Benjamin (4286) is indicated by bib number but does not appear in creators",5
6299,"Member Workman, Benjamin (4286) appears in members but not creators",4
5517,"Member Lavoisier, Antoine L. (4360) is indicated by bib number but does not appear in creators",5
5517,"Member Lavoisier, Antoine L. (4360) appears in members but not creators",4
5354,"Member Sue, Jean-Baptiste (4257) is indicated by bib number but does not appear in creators",5
5354,"Member Sue, Jean-Baptiste (4257) appears in members but not creators",4
6800,"Member Allen, William (4618) is indicated by bib number but does not appear in creators",5
6800,"Member Allen, William (4618) appears in members but not creators",4
6938,"Member Shippen, Edward IV (4638) is indicated by bib number but does not appear in creators",5
6938,"Member Shippen, Edward IV (4638) appears in members but not creators",4
6359,"Member Cooper, Myles (4443) is indicated by bib number but does not appear in creators",5
6359,"Member Cooper, Myles (4443) appears in members but not creators",4
5274,"Member Daubenton, Louis J.M. (4343) is indicated by bib number but does not appear in creators",5
5274,"Member Daubenton, Louis J.M. (4343) appears in members but not creators",4
6666,"Member Stillman, Samuel (4514) is indicated by bib number but does not appear in creators",5
6666,"Member Stillman, Samuel (4514) appears in members but not creators",4
6649,"Member Stillman, Samuel (4514) is indicated by bib number but does not appear in creators",5
6649,"Member Stillman, Samuel (4514) appears in members but not creators",4
6732,"Member Wharton, Samuel (4434) is indicated by bib number but does not appear in creators",5
6732,"Member Wharton, Samuel (4434) appears in members but not creators",4
5244,"Member Walsh, Robert (4250) appears in members but is not accounted for in bib_number 383",2
5244,"Member Walsh, Robert (4250) appears in members but not creators",4
5643,"Member Dickinson, John (4596) appears in members but is not accounted for in bib_number 368",2
5643,"Member Dickinson, John (4596) appears in members but not creators",4
5890,"Member Lafayette, Motier Theodore (4333) appears in members but is not accounted for in bib_number 389",2
5890,"Member Washington, George (4294) is indicated by bib number but does not appear in creators",5
5890,"Member Lafayette, Motier Theodore (4333) appears in members but not creators",4
5890,"Member Washington, George (4294) appears in members but not creators",4
5093,"Member Raynall, Guillaume T. F. (4351) is indicated by bib number but does not appear in creators",5
5093,"Member Raynall, Guillaume T. F. (4351) appears in members but not creators",4
6618,"Member Cullen, William (4529) is indicated by bib number but does not appear in creators",5
6618,"Member Cullen, William (4529) appears in members but not creators",4
5175,"Member Macquer, Pierre J. (4352) is indicated by bib number but does not appear in creators",5
5175,"Member Macquer, Pierre J. (4352) appears in members but not creators",4
6012,"Member Belknap, Jeremy (4318) is indicated by bib number but does not appear in creators",5
6012,"Member Belknap, Jeremy (4318) appears in members but not creators",4
7042,"Member Colden, Cadwallader (4672) is indicated by bib number but does not appear in creators",5
7042,"Member Colden, Cadwallader (4672) appears in members but not creators",4
6162,"Member Gage, Thomas (4416) is indicated by bib number but does not appear in creators",5
6162,"Member Gage, Thomas (4416) appears in members but not creators",4
6782,"Member Watts, Stephen (4572) is indicated by bib number but does not appear in creators",5
6782,"Member Watts, Stephen (4572) appears in members but not creators",4
5276,"Member Daubenton, Louis J.M. (4343) appears in members but is not accounted for in bib_number 231",2
5276,"Member Buffon, Georges-Louis LeClerc, Comte de (4479) is indicated by bib number but does not appear in creators",5
5276,"Member Buffon, Georges-Louis LeClerc, Comte de (4479) appears in members but not creators",4
5276,"Member Daubenton, Louis J.M. (4343) appears in members but not creators",4
6466,"Member White, William (4522) is indicated by bib number but does not appear in creators",5
6466,"Member White, William (4522) appears in members but not creators",4
6626,"Member Cullen, William (4529) is indicated by bib number but does not appear in creators",5
6626,"Member Cullen, William (4529) appears in members but not creators",4
6310,"Member Hermelin, Samuel G. (4271) is indicated by bib number but does not appear in creators",5
6310,"Member Hermelin, Samuel G. (4271) appears in members but not creators",4
6786,"Member Odell, Jonathan (4622) is indicated by bib number but does not appear in creators",5
6786,"Member Odell, Jonathan (4622) appears in members but not creators",4
6546,"Member Mayer, Christian (4495) is indicated by bib number but does not appear in creators",5
6546,"Member Mayer, Christian (4495) appears in members but not creators",4
4827,"Member Condorcet, M.J.A.N. Caritat (4355) is indicated by bib number but does not appear in creators",5
4827,"Member Condorcet, M.J.A.N. Caritat (4355) appears in members but not creators",4
7006,"Member Alison, Francis (4653) is indicated by bib number but does not appear in creators",5
7006,"Member Alison, Francis (4653) appears in members but not creators",4
6383,"Member Stiles, Ezra (4616) is indicated by bib number but does not appear in creators",5
6383,"Member Stiles, Ezra (4616) appears in members but not creators",4
6986,"Member Mason, Charles (4642) is indicated by bib number but does not appear in creators",5
6986,"Member Mason, Charles (4642) appears in members but not creators",4
6595,"Member Holyoke, Edward A. (4507) is indicated by bib number but does not appear in creators",5
6595,"Member Holyoke, Edward A. (4507) appears in members but not creators",4
4882,"Member Edwards, Bryan (4400) is indicated by bib number but does not appear in creators",5
4882,"Member Edwards, Bryan (4400) appears in members but not creators",4
5886,"Member Jefferson, Thomas (4311) is indicated by bib number but does not appear in creators",5
5886,"Member Jefferson, Thomas (4311) appears in members but not creators",4
6745,"Member Bringhurst, Joseph (4484) is indicated by bib number but does not appear in creators",5
6745,"Member Bringhurst, Joseph (4484) appears in members but not creators",4
6372,"Member Winthrop, John (4617) is indicated by bib number but does not appear in creators",5
6372,"Member Winthrop, John (4617) appears in members but not creators",4
6461,"Member White, William (4522) is indicated by bib number but does not appear in creators",5
6461,"Member White, William (4522) appears in members but not creators",4
6729,"Member Belcher, Jonathan (4576) is indicated by bib number but does not appear in creators",5
6729,"Member Belcher, Jonathan (4576) appears in members but not creators",4
5861,"Member Jefferson, Thomas (4311) is indicated by bib number but does not appear in creators",5
5861,"Member Jefferson, Thomas (4311) appears in members but not creators",4
5177,"Member Macquer, Pierre J. (4352) is indicated by bib number but does not appear in creators",5
5177,"Member Macquer, Pierre J. (4352) appears in members but not creators",4
4913,"Member Ferguson, James (4377) is indicated by bib number but does not appear in creators",5
4913,"Member Ferguson, James (4377) appears in members but not creators",4
5806,"Member Campomanes, Pedro Rodriguez (4265) is indicated by bib number but does not appear in creators",5
5806,"Member Campomanes, Pedro Rodriguez (4265) appears in members but not creators",4
5311,"Member Vergennes, Charles G. (4258) is indicated by bib number but does not appear in creators",5
5311,"Member Vergennes, Charles G. (4258) appears in members but not creators",4
6092,"Member Stiles, Ezra (4616) is indicated by bib number but does not appear in creators",5
6092,"Member Stiles, Ezra (4616) appears in members but not creators",4
6720,"Member Nicola, Lewis (4521) is indicated by bib number but does not appear in creators",5
6720,"Member Nicola, Lewis (4521) appears in members but not creators",4
6614,"Member Davidson, James (4492) is indicated by bib number but does not appear in creators",5
6614,"Member Davidson, James (4492) appears in members but not creators",4
5522,"Member Mandrillion, Joseph (4277) is indicated by bib number but does not appear in creators",5
5522,"Member Mandrillion, Joseph (4277) appears in members but not creators",4
5737,"Member Priestley, Joseph (4278) is indicated by bib number but does not appear in creators",5
5737,"Member Priestley, Joseph (4278) appears in members but not creators",4
5606,"Member Madison, James (4276) is indicated by bib number but does not appear in creators",5
5606,"Member Madison, James (4276) appears in members but not creators",4
6332,"Member Cutler, Manasseh (4273) is indicated by bib number but does not appear in creators",5
6332,"Member Cutler, Manasseh (4273) appears in members but not creators",4
6349,"Member Gage, Thomas (4416) is indicated by bib number but does not appear in creators",5
6349,"Member Gage, Thomas (4416) appears in members but not creators",4
6911,"Member Galloway, Joseph (4612) is indicated by bib number but does not appear in creators",5
6911,"Member Galloway, Joseph (4612) appears in members but not creators",4
5779,"Member Fontana, Felice (4336) is indicated by bib number but does not appear in creators",5
5779,"Member Fontana, Felice (4336) appears in members but not creators",4
5579,"Member Herschel, William (4281) is indicated by bib number but does not appear in creators",5
5579,"Member Herschel, William (4281) appears in members but not creators",4
6625,"Member Rush, Benjamin (4614) appears in members but is not accounted for in bib_number 179",2
6151,"Member Gibbons, Thomas (4350) is indicated by bib number but does not appear in creators",5
6151,"Member Gibbons, Thomas (4350) appears in members but not creators",4
5021,"Member Williams, Samuel (4372) is indicated by bib number but does not appear in creators",5
5021,"Member Williams, Samuel (4372) appears in members but not creators",4
6616,"Member Davidson, James (4492) is indicated by bib number but does not appear in creators",5
6616,"Member Davidson, James (4492) appears in members but not creators",4
6914,"Member Chew, Benjamin Sr. (4613) is indicated by bib number but does not appear in creators",5
6914,"Member Chew, Benjamin Sr. (4613) appears in members but not creators",4
5140,"Member Magaw, Samuel (4320) is indicated by bib number but does not appear in creators",5
5140,"Member Magaw, Samuel (4320) appears in members but not creators",4
6932,"Member McKean, Thomas (4646) is indicated by bib number but does not appear in creators",5
6932,"Member McKean, Thomas (4646) appears in members but not creators",4
5272,"Member Daubenton, Louis J.M. (4343) is indicated by bib number but does not appear in creators",5
5272,"Member Daubenton, Louis J.M. (4343) appears in members but not creators",4
5500,"Member Lavoisier, Antoine L. (4360) is indicated by bib number but does not appear in creators",5
5500,"Member Lavoisier, Antoine L. (4360) appears in members but not creators",4
4831,"Member Jefferson, Thomas (4311) appears in members but is not accounted for in bib_number 367",2
4831,"Member Condorcet, M.J.A.N. Caritat (4355) is indicated by bib number but does not appear in creators",5
4831,"Member Condorcet, M.J.A.N. Caritat (4355) appears in members but not creators",4
4831,"Member Jefferson, Thomas (4311) appears in members but not creators",4
6707,"Member Dick, Sir Alexander (4511) is indicated by bib number but does not appear in creators",5
6707,"Member Dick, Sir Alexander (4511) appears in members but not creators",4
6704,"Member Dick, Sir Alexander (4511) is indicated by bib number but does not appear in creators",5
6704,"Member Dick, Sir Alexander (4511) appears in members but not creators",4
6705,"Member Dick, Sir Alexander (4511) is indicated by bib number but does not appear in creators",5
6705,"Member Dick, Sir Alexander (4511) appears in members but not creators",4
6958,"Member Dickinson, John (4596) appears in members but is not accounted for in bib_number 103",2
6855,"Member Dickinson, John (4596) appears in members but is not accounted for in bib_number 65",2
6855,"Member Smith, William (1727-1803), Provost (4609) is indicated by bib number but does not appear in creators",5
6855,"Member Smith, William (1727-1803), Provost (4609) appears in members but not creators",4
5298,"Member Bordley, John Beale (4334) is indicated by bib number but does not appear in creators",5
5298,"Member Bordley, John Beale (4334) appears in members but not creators",4
6141,"Member Gibbons, Thomas (4350) is indicated by bib number but does not appear in creators",5
6141,"Member Gibbons, Thomas (4350) appears in members but not creators",4
5003,"Member Dolland, Peter (4409) is indicated by bib number but does not appear in creators",5
5003,"Member Dolland, Peter (4409) appears in members but not creators",4
5004,"Member Dolland, Peter (4409) is indicated by bib number but does not appear in creators",5
5004,"Member Dolland, Peter (4409) appears in members but not creators",4
5005,"Member Dolland, Peter (4409) is indicated by bib number but does not appear in creators",5
